District,N,P,K,pH
PUDUKKOTTAI,33.42,66.64,70.01,6.8
KARUR,33.37,64.77,85.74,6.9
THIRUVALLUR,33.39,76.35,52.83,6.61
CHENGALPATTU,34.22,64.69,58.29,6.77
THE NILGIRIS,42.41,99.2,86.87,6.43
Mayiladuthurai,33.73,77.19,76.97,6.81
RANGA REDDY,42.36,86.02,60.28,6.62
BHADRADRI KOTHAGUDEM,34.54,91.16,72.59,6.87
KUMURAM BHEEM ASIFABAD,56.68,95.51,72.17,6.8
PEDDAPALLI,33.33,99.2,81.75,6.78
KHAMMAM,36.49,98.21,91.95,7.01
ADILABAD,55.17,95.72,84.64,6.82
NALGONDA,42.8,96.67,63.67,6.88
WARANGAL,38.63,96.55,89.45,6.8
YADADRI BHUVANAGIRI,41.62,97.74,45.26,7.04
MEDAK,33.45,94.92,91.24,6.77
Nirmal,34.98,97.82,61.13,6.73
NIZAMABAD,35.72,97.98,78.72,6.82
SURYAPET,47.63,97.0,57.0,6.83
KAMAREDDY,40.05,93.11,71.37,6.8
SANGAREDDY,33.53,78.71,89.52,6.8
VIKARABAD,33.46,98.45,89.62,6.8
HANUMAKONDA,47.58,96.59,94.08,6.8
Mulugu,36.91,99.58,79.09,6.82
MEDCHAL MALKAJGIRI,80.8,88.08,89.41,6.84
SIDDIPET,33.85,88.6,91.42,6.76
JOGULAMBA GADWAL,36.29,99.94,68.63,6.79
Narayanpet,33.65,93.81,89.04,6.83
Jagitial,45.78,91.52,58.41,7.3
MAHABUBABAD,37.25,98.24,84.57,6.71
JANGOAN,34.66,97.27,86.78,6.84
MAHABUBNAGAR,36.94,99.16,68.84,6.8
NAGARKURNOOL,35.11,99.91,78.01,6.81
JAYASHANKAR BHUPALAPALLY,37.02,96.68,90.69,6.8
MANCHERIAL,56.35,92.86,80.7,6.8
WANAPARTHY,39.22,99.89,69.74,6.8
RAJANNA SIRCILLA,33.41,99.18,84.69,6.7
KARIMNAGAR,33.35,99.59,88.67,6.77
Dhalai,40.31,90.81,64.08,5.51
North Tripura,62.22,66.95,65.19,5.62
West Tripura,48.36,69.02,65.3,6.06
Sepahijala,43.44,71.87,64.29,5.87
Khowai,46.29,68.91,65.71,6.02
Gomati,42.88,66.87,62.15,5.55
South Tripura,43.8,72.82,64.68,5.76
Unakoti,65.59,66.38,65.43,5.64
UDAM SINGH NAGAR,34.82,80.02,59.77,6.8
RUDRA PRAYAG,33.33,70.38,83.36,6.77
HARIDWAR,34.75,73.36,70.28,6.8
DEHRADUN,40.69,83.47,59.07,6.8
PITHORAGARH,33.78,56.09,66.45,6.53
PAURI GARHWAL,37.39,59.16,54.97,6.76
UTTAR KASHI,33.49,62.27,62.1,6.67
TEHRI GARHWAL,0.0,84.72,78.87,6.8
NAINITAL,37.84,74.06,73.12,6.73
ALMORA,36.22,81.87,80.51,6.8
BAGESHWAR,38.76,66.82,76.98,6.79
CHAMPAWAT,35.0,82.84,81.37,6.69
CHAMOLI,34.26,85.68,70.71,6.8
MEERUT,40.11,60.11,67.85,6.8
MUZAFFARNAGAR,33.49,76.61,53.75,6.8
GAUTAM BUDDHA NAGAR,39.0,58.3,68.18,6.8
BULANDSHAHR,35.68,69.87,66.52,6.8
ALIGARH,39.73,44.09,38.75,7.24
BAGHPAT,35.07,60.67,65.07,6.8
GHAZIABAD,44.02,59.77,65.27,6.8
SITAPUR,33.39,58.25,66.31,6.82
HAPUR,38.92,65.73,67.65,6.81
LUCKNOW,36.28,59.08,84.19,6.8
KHERI,33.51,65.02,66.18,6.81
JHANSI,33.4,51.55,87.26,6.8
DEORIA,33.53,58.26,64.51,6.8
BASTI,33.38,75.84,60.55,6.8
MAHARAJGANJ,33.52,50.89,62.52,6.8
HATHRAS,33.41,65.54,70.0,6.8
KANPUR DEHAT,33.4,61.45,66.33,6.8
GORAKHPUR,33.54,53.98,61.58,6.8
SANT KABEER NAGAR,33.41,69.49,63.44,6.8
KUSHI NAGAR,33.56,65.2,62.64,6.82
FARRUKHABAD,33.36,60.53,67.88,6.8
SIDDHARTH NAGAR,33.39,57.57,66.66,6.8
AMBEDKAR NAGAR,33.52,53.98,64.09,6.87
VARANASI,33.36,55.8,66.54,6.85
Kasganj,34.44,62.56,66.24,6.81
RAMPUR,33.34,71.77,63.62,6.8
BAHRAICH,33.34,64.1,64.14,6.8
UNNAO,33.33,66.19,89.08,6.8
BHADOHI,33.33,49.66,72.22,6.8
SONBHADRA,33.35,65.78,67.13,6.8
SAMBHAL,33.41,64.18,66.94,6.8
ETAWAH,46.18,74.73,68.71,6.8
MIRZAPUR,33.34,57.66,74.12,6.8
AYODHYA,33.67,50.99,59.55,6.8
SAHARANPUR,33.41,66.61,60.38,6.8
BALRAMPUR,33.46,64.64,59.48,6.8
BARABANKI,33.53,61.65,62.83,6.81
SHRAVASTI,33.42,60.16,60.13,6.8
BIJNOR,33.51,60.13,65.86,6.8
SHAMLI,33.36,68.63,57.55,6.8
CHANDAULI,33.43,41.74,64.73,6.8
BAREILLY,33.5,52.5,63.95,6.8
HARDOI,33.36,89.7,65.51,6.8
KANPUR NAGAR,33.37,64.3,66.46,6.8
MORADABAD,33.46,74.06,61.7,6.8
GHAZIPUR,33.37,54.5,64.71,6.81
SULTANPUR,33.68,68.34,63.55,6.8
AZAMGARH,33.36,68.91,66.21,6.82
GONDA,33.35,61.85,56.59,6.8
RAE BARELI,33.58,44.26,65.09,6.82
Amethi,34.21,55.71,60.3,6.84
PRAYAGRAJ,33.41,75.1,89.0,6.81
ETAH,35.83,67.12,68.48,6.8
FIROZABAD,33.48,72.03,70.27,6.8
AGRA,33.41,69.82,81.9,6.8
JAUNPUR,33.51,56.75,65.32,6.81
PILIBHIT,33.33,60.98,61.18,6.8
LALITPUR,36.74,56.13,88.47,6.8
MAINPURI,33.52,76.04,81.26,6.82
KANNAUJ,33.35,66.36,64.76,6.8
MAU,33.41,74.8,66.45,6.8
PRATAPGARH,33.48,76.36,66.08,6.8
JALAUN,33.41,66.55,99.58,6.8
KAUSHAMBI,33.34,65.39,85.22,6.8
CHITRAKOOT,33.39,59.57,80.31,6.8
AMROHA,33.48,63.84,65.36,6.8
AURAIYA,33.77,75.1,66.67,6.8
BANDA,33.44,79.67,65.7,6.8
FATEHPUR,33.33,81.0,66.75,6.8
BALLIA,35.52,79.51,64.46,6.8
BUDAUN,33.35,57.8,58.06,6.8
HAMIRPUR,33.35,71.91,65.71,6.8
MATHURA,33.41,76.49,67.53,7.03
SHAHJAHANPUR,33.36,57.23,65.85,6.8
MAHOBA,33.33,76.05,71.8,6.8
DARJEELING,64.37,65.61,71.78,6.09
MEDINIPUR EAST,67.82,88.99,72.46,6.52
MURSHIDABAD,44.47,95.76,68.14,6.75
PURULIA,48.71,99.01,79.6,6.8
NADIA,33.97,83.17,76.62,6.8
PURBA BARDHAMAN,46.28,95.43,74.65,6.46
MEDINIPUR WEST,43.19,74.21,81.59,5.89
HOOGHLY,58.96,99.61,88.7,6.34
Jhargram,73.14,99.12,73.54,6.0
24 PARAGANAS NORTH,56.94,97.39,75.75,6.75
PASCHIM BARDHAMAN,44.41,69.53,60.83,6.53
COOCHBEHAR,46.84,97.74,58.09,5.99
Alipurduar,44.83,96.98,50.21,6.03
DINAJPUR DAKSHIN,56.62,71.48,72.8,6.13
BANKURA,63.54,81.76,77.73,6.27
DINAJPUR UTTAR,55.76,80.64,70.89,6.02
HOWRAH,65.8,99.95,79.79,6.6
BIRBHUM,50.07,90.79,70.34,6.44
24 PARAGANAS SOUTH,57.51,85.61,87.87,6.59
JALPAIGURI,63.44,46.19,67.09,5.83
MALDAH,35.36,94.09,33.45,6.7
KALIMPONG,66.59,99.77,66.61,6.35
